resp_id,survey_location,period,post,treated,did,monthly_transport_exp,ticket_expenditure,gender,female,age,profession,trip_purpose,mode,trip_dist_km,trip_time_min,trip_fare,trips_per_week,wait_min,access_dist_m,n_2w,n_4w,n_cycle,hh_motor_vehicles,income_imputed,vi_income,vi_no_vehicle,vi_elderly,brt_experience,employed,VI,VI_did
456,16. Ram Tirath Road,0,0,0,0,0.0,0.0,Male,0,45,Self-employed,Work,Bicycle,1.0,15,0,7,0,0,2,0,2,2,17914,0.5496761102005776,0,0,Yes,1,0.1832253700668592,0.0
456,16. Ram Tirath Road,1,1,0,0,1.835332288803189,0.0,Male,0,45,Self-employed,Work,Bicycle,1.0,15,0,7,0,0,2,0,2,2,17914,0.5496761102005776,0,0,Yes,1,0.1832253700668592,0.0
457,33. Tara Wala pul,0,0,0,0,0.0,0.0,Male,0,65,Unemployed,Religious,Bicycle,1.0,10,0,7,0,0,1,0,1,1,0,1.0,0,1,No,0,0.6666666666666666,0.0
457,33. Tara Wala pul,1,1,0,0,9.800271795541924,0.0,Male,0,65,Unemployed,Religious,Bicycle,1.0,10,0,7,0,0,1,0,1,1,0,1.0,0,1,No,0,0.6666666666666666,0.0
458,6. Gumtala Chowk,0,0,0,0,0.0,0.0,Male,0,16,Student,Education,Bicycle,1.5,30,0,6,0,0,1,0,1,1,0,1.0,0,0,No,0,0.3333333333333333,0.0
458,6. Gumtala Chowk,1,1,0,0,4.585606424584898,0.0,Male,0,16,Student,Education,Bicycle,1.5,30,0,6,0,0,1,0,1,1,0,1.0,0,0,No,0,0.3333333333333333,0.0
459,31. Queens Road,0,0,0,0,0.0,0.0,Male,0,28,Self-employed,Work,Bicycle,1.5,20,0,6,0,0,2,0,2,2,17914,0.5496761102005776,0,0,Yes,1,0.1832253700668592,0.0
459,31. Queens Road,1,1,0,0,7.84080948341408,0.0,Male,0,28,Self-employed,Work,Bicycle,1.5,20,0,6,0,0,2,0,2,2,17914,0.5496761102005776,0,0,Yes,1,0.1832253700668592,0.0
460,12. Majitha Road Bypass,0,0,0,0,0.0,0.0,Male,0,32,Private salaried job,Work,Bicycle,1.5,10,0,6,0,0,0,0,1,0,22000,0.3902286740029658,1,0,No,1,0.4634095580009886,0.0
460,12. Majitha Road Bypass,1,1,0,0,6.364083421077769,0.0,Male,0,32,Private salaried job,Work,Bicycle,1.5,10,0,6,0,0,0,0,1,0,22000,0.3902286740029658,1,0,No,1,0.4634095580009886,0.0
461,3. Bus stand,0,0,0,0,0.0,0.0,Male,0,40,Private salaried job,Work,Bicycle,1.5,7,0,5,0,0,0,0,1,0,22000,0.3902286740029658,1,0,Yes,1,0.4634095580009886,0.0
461,3. Bus stand,1,1,0,0,5.724131499586374,0.0,Male,0,40,Private salaried job,Work,Bicycle,1.5,7,0,5,0,0,0,0,1,0,22000,0.3902286740029658,1,0,Yes,1,0.4634095580009886,0.0
462,19. Sultanwind,0,0,0,0,0.0,0.0,Male,0,40,Self-employed,Work,Bicycle,2.0,10,0,6,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
462,19. Sultanwind,1,1,0,0,1.451302546650497,0.0,Male,0,40,Self-employed,Work,Bicycle,2.0,10,0,6,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
463,20. Sultanwind gate,0,0,0,0,0.0,0.0,Male,0,40,Self-employed,Work,Bicycle,2.0,15,0,6,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
463,20. Sultanwind gate,1,1,0,0,9.460244535580951,0.0,Male,0,40,Self-employed,Work,Bicycle,2.0,15,0,6,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
464,7. Guru Ram Das Charitable Hospital,0,0,0,0,0.0,0.0,Male,0,48,Self-employed,Work,Bicycle,2.0,10,0,1,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
464,7. Guru Ram Das Charitable Hospital,1,1,0,0,3.01342632514718,0.0,Male,0,48,Self-employed,Work,Bicycle,2.0,10,0,1,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
465,1. 100 ft road Chowk,0,0,0,0,0.0,0.0,Male,0,50,Self-employed,Work,Bicycle,2.0,15,0,6,0,0,1,0,1,1,17914,0.5496761102005776,0,0,No,1,0.1832253700668592,0.0
465,1. 100 ft road Chowk,1,1,0,0,5.7801721580754215,0.0,Male,0,50,Self-employed,Work,Bicycle,2.0,15,0,6,0,0,1,0,1,1,17914,0.5496761102005776,0,0,No,1,0.1832253700668592,0.0
466,1. 100 ft road Chowk,0,0,0,0,0.0,0.0,Male,0,60,Private salaried job,Work,Bicycle,2.0,15,0,6,0,0,0,0,1,0,22000,0.3902286740029658,1,1,No,1,0.796742891334322,0.0
466,1. 100 ft road Chowk,1,1,0,0,6.997759445890662,0.0,Male,0,60,Private salaried job,Work,Bicycle,2.0,15,0,6,0,0,0,0,1,0,22000,0.3902286740029658,1,1,No,1,0.796742891334322,0.0
467,34. Valmiki Chowk,0,0,0,0,0.0,0.0,Male,0,22,Self-employed,Work,Bicycle,3.0,30,0,3,0,0,2,0,1,2,17914,0.5496761102005776,0,0,No,1,0.1832253700668592,0.0
467,34. Valmiki Chowk,1,1,0,0,6.492331552453089,0.0,Male,0,22,Self-employed,Work,Bicycle,3.0,30,0,3,0,0,2,0,1,2,17914,0.5496761102005776,0,0,No,1,0.1832253700668592,0.0
468,12. Majitha Road Bypass,0,0,0,0,0.0,0.0,Male,0,35,Private salaried job,Work,Bicycle,3.0,15,0,6,0,0,0,0,1,0,22000,0.3902286740029658,1,0,No,1,0.4634095580009886,0.0
468,12. Majitha Road Bypass,1,1,0,0,9.405944096955183,0.0,Male,0,35,Private salaried job,Work,Bicycle,3.0,15,0,6,0,0,0,0,1,0,22000,0.3902286740029658,1,0,No,1,0.4634095580009886,0.0
469,Chattarwind_Gate,0,0,0,0,0.0,0.0,Male,0,42,Self-employed,Work,Bicycle,3.0,10,0,7,0,0,1,0,1,1,17914,0.5496761102005776,0,0,Yes,1,0.1832253700668592,0.0
469,Chattarwind_Gate,1,1,0,0,1.48438989920058,0.0,Male,0,42,Self-employed,Work,Bicycle,3.0,10,0,7,0,0,1,0,1,1,17914,0.5496761102005776,0,0,Yes,1,0.1832253700668592,0.0
470,29. Kachehri Chowk,0,0,0,0,0.0,0.0,Male,0,46,Self-employed,Work,Bicycle,3.0,30,0,6,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
470,29. Kachehri Chowk,1,1,0,0,5.083527384469421,0.0,Male,0,46,Self-employed,Work,Bicycle,3.0,30,0,6,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
471,13. Mudhal Bypass,0,0,0,0,0.0,0.0,Male,0,40,Self-employed,Work,Bicycle,5.0,20,0,5,0,0,0,0,1,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
